会,一太郎,あい,いちたろう,Ai,Ichitarou,1987,11,12
相上,和音,あいうえ,わおん,Aiue,Waon,1981,3,17
相生,千恵子,あいおい,ちえこ,Aioi,Chieko,1934,12,28
愛川,欽也,あいかわ,きんや,Aikawa,Kinya,1934,6,25
藍川,千尋,あいかわ,ちひろ,Aikawa,Chihiro,,8,19
相川,奈都姫,あいかわ,なつき,Aikawa,Natsuki,,8,21
愛河,里花子,あいかわ,りかこ,Aikawa,Rikako,1967,10,7
逢川,亮子,あいかわ,りょうこ,Aikawa,Ryouko,1949,3,22
相坂,優歌,あいさか,ゆうか,Aisaka,Yuuka,1990,9,5
相沢,恵子,あいざわ,けいこ,Aizawa,Keiko,1963,11,22
相沢,舞,あいざわ,まい,Aizawa,Mai,,8,21
相沢,まさき,あいざわ,まさき,Aizawa,Masaki,1965,1,19
逢沢,ゆりか,あいざわ,ゆりか,Aizawa,Yurika,,10,1
相田,さやか,あいだ,さやか,Aida,Sayaka,1975,3,9
相橋,愛子,あいはし,あいこ,Aihashi,Aiko,1976,3,10
相原,玲,あいはら,れい,Aihara,Rei,1984,3,21
相葉,裕樹,あいば,ひろき,Aiba,Hiroki,1987,10,1
相葉,ゆきこ,あいば,ゆきこ,Aiba,Yukiko,,1,21
愛美,,あいみ,,Aimi,,1991,12,25
相本,結香,あいもと,ゆか,Aimoto,Yuka,,3,29
葵,海人,あおい,かいと,Aoi,Kaito,,3,4
蒼井,翔太,あおい,しょうた,Aoi,Shouta,1987,8,11
青木,和代,あおき,かずよ,Aoki,Kazuyo,1947,8,27
あおき,さやか,あおき,さやか,Aoki,Sayaka,1972,10,19
青木,崇,あおき,たかし,Aoki,Takashi,,8,17
青木,強,あおき,つよし,Aoki,Tsuyoshi,1977,5,30
青木,菜な,あおき,なな,Aoki,Nana,1960,2,17
青木,紀子,あおき,のりこ,Aoki,Noriko,1985,2,27
青木,誠,あおき,まこと,Aoki,Makoto,1975,10,7
青木,まゆこ,あおき,まゆこ,Aoki,Mayuko,1975,12,17
青木,瑠璃子,あおき,るりこ,Aoki,Ruriko,,3,24
青野,武,あおの,たけし,Aono,Takeshi,1936,6,19
青羽,剛,あおば,ごう,Aoba,Gou,1969,10,19
青羽,美代子,あおば,みよこ,Aoba,Miyoko,1961,9,2
青葉,りんご,あおば,りんご,Aoba,Ringo,,4,5
青森,伸,あおもり,しん,Aomori,Shin,1941,10,20
青柳,隆志,あおやぎ,たかし,Aoyagi,Takashi,1961,8,17
青山,耕平,あおやま,こうへい,Aoyama,Kouhei,,8,28
青山,桐子,あおやま,とうこ,Aoyama,Touko,1976,11,3
青山,美帆,あおやま,みほ,Aoyama,Miho,,2,14
青山,穣,あおやま,ゆたか,Aoyama,Yutaka,1965,1,30
あかい,とまと,あかい,とまと,Akai,Tomato,,3,16
赤池,裕美子,あかいけ,ゆみこ,Akaike,Yumiko,,11,2
赤石,広樹,あかいし,こうき,Akaishi,Kouki,1979,11,28
赤井田,良彦,あかいだ,よしひこ,Akaida,Yoshihiko,,4,8
あかがわ,まき,あかがわ,まき,Akagawa,Maki,,1,2
赤城,進,あかぎ,すすむ,Akagi,Susumu,1972,11,28
赤木,美絵,あかぎ,みえ,Akagi,Mie,,5,2
赤﨑,千夏,あかさき,ちなつ,Akasaki,Chinatsu,1987,8,10
赤澤,涼太,あかざわ,りょうた,Akazawa,Ryouta,1983,4,22
明石,香織,あかし,かおり,Akashi,Kaori,1982,2,12
赤土,眞弓,あかど,まゆみ,Akado,Mayumi,1965,6,28
紅波,柚香,あかなみ,ゆか,Akanami,Yuka,1983,1,10
茜屋,日海夏,あかねや,ひみか,Akaneya,Himika,1994,7,16
赤羽根,健治,あかばね,けんじ,Akabane,Kenji,1984,10,31
明平,鉄平,あかひら,てっぺい,Akahira,Teppei,1976,12,29
赤星,昇一郎,あかぼし,しょういちろう,Akaboshi,Shouichirou,1955,11,25
阿川,りょう,あがわ,りょう,Agawa,Ryou,1983,1,5
安芸,けい子,あき,けいこ,Aki,Keiko,,11,30
AKIKO,,あきこ,,Akiko,,1977,12,9
秋田,まどか,あきた,まどか,Akita,Madoka,1979,12,29
秋奈,,あきな,,Akina,,1995,11,2
秋元,千賀子,あきもと,ちかこ,Akimoto,Chikako,,12,17
